package_id,total_tasks,p1,p2,p3,estrutura,pesquisa,popular
PKG_01,25,25,0,0,11,14,0
PKG_02,25,25,0,0,11,14,0
PKG_03,24,24,0,0,11,13,0
PKG_04,24,24,0,0,11,13,0
PKG_05,24,24,0,0,11,13,0
PKG_06,24,24,0,0,11,13,0
PKG_07,24,24,0,0,11,13,0
PKG_08,24,24,0,0,11,13,0
PKG_09,24,24,0,0,11,13,0
PKG_10,24,24,0,0,11,13,0
PKG_11,24,24,0,0,11,13,0
PKG_12,24,24,0,0,11,13,0
PKG_13,24,24,0,0,11,13,0
PKG_14,24,24,0,0,11,13,0
PKG_15,24,24,0,0,11,13,0
PKG_16,24,24,0,0,11,13,0
PKG_17,24,24,0,0,11,13,0
PKG_18,24,24,0,0,11,13,0
PKG_19,24,24,0,0,11,13,0
PKG_20,24,24,0,0,11,13,0
