package_id,total_tasks,p1,p2,p3
EQ_PKG_01,122,89,33,0
EQ_PKG_02,122,89,33,0
EQ_PKG_03,122,89,33,0
EQ_PKG_04,122,89,33,0
EQ_PKG_05,122,89,33,0
EQ_PKG_06,122,88,34,0
EQ_PKG_07,122,89,33,0
EQ_PKG_08,122,88,34,0
EQ_PKG_09,122,88,34,0
EQ_PKG_10,122,89,33,0
EQ_PKG_11,122,89,33,0
EQ_PKG_12,122,89,33,0
EQ_PKG_13,122,89,33,0
EQ_PKG_14,122,89,33,0
EQ_PKG_15,122,89,33,0
EQ_PKG_16,122,89,33,0
EQ_PKG_17,122,88,34,0
EQ_PKG_18,122,89,33,0
EQ_PKG_19,122,88,34,0
EQ_PKG_20,122,88,34,0
EQ_PKG_21,122,89,33,0
EQ_PKG_22,122,89,33,0
EQ_PKG_23,122,89,33,0
EQ_PKG_24,117,95,22,0
