package_id,total_tasks,p1,p2,p3
LIV_PKG_01,63,53,10,0
LIV_PKG_02,63,53,10,0
LIV_PKG_03,63,53,10,0
LIV_PKG_04,63,53,10,0
LIV_PKG_05,63,53,10,0
LIV_PKG_06,63,53,10,0
LIV_PKG_07,63,53,10,0
LIV_PKG_08,63,53,10,0
LIV_PKG_09,63,53,10,0
LIV_PKG_10,63,53,10,0
LIV_PKG_11,63,53,10,0
LIV_PKG_12,63,53,10,0
LIV_PKG_13,62,53,9,0
LIV_PKG_14,62,52,10,0
LIV_PKG_15,62,52,10,0
LIV_PKG_16,62,52,10,0
LIV_PKG_17,62,52,10,0
LIV_PKG_18,62,52,10,0
LIV_PKG_19,62,52,10,0
LIV_PKG_20,62,52,10,0
LIV_PKG_21,62,52,10,0
LIV_PKG_22,62,52,10,0
LIV_PKG_23,62,52,10,0
LIV_PKG_24,62,52,10,0
LIV_PKG_25,62,52,10,0
LIV_PKG_26,62,52,10,0
LIV_PKG_27,62,52,10,0
LIV_PKG_28,62,52,10,0
LIV_PKG_29,62,52,10,0
LIV_PKG_30,62,52,10,0
