task_id,department,district,dados_exists,media_exists,dados_ok,media_ok,status,issues
POP-00_Distrito_Capital-Asuncion,00_Distrito_Capital,Asuncion,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Arroyito,01_Concepcion,Arroyito,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Azotey,01_Concepcion,Azotey,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Belen,01_Concepcion,Belen,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Concepcion,01_Concepcion,Concepcion,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Horqueta,01_Concepcion,Horqueta,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Itacua,01_Concepcion,Itacua,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Loreto,01_Concepcion,Loreto,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Paso_Barreto,01_Concepcion,Paso_Barreto,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Paso_Horqueta,01_Concepcion,Paso_Horqueta,True,True,True,True,APPROVED,OK
POP-01_Concepcion-San_Alfredo,01_Concepcion,San_Alfredo,True,True,True,True,APPROVED,OK
POP-01_Concepcion-San_Carlos_del_Apa,01_Concepcion,San_Carlos_del_Apa,True,True,True,True,APPROVED,OK
POP-01_Concepcion-San_Lazaro,01_Concepcion,San_Lazaro,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Sargento_Jose_Felix_Lopez,01_Concepcion,Sargento_Jose_Felix_Lopez,True,True,True,True,APPROVED,OK
POP-01_Concepcion-Yby_Yau,01_Concepcion,Yby_Yau,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-25_de_Diciembre,02_San_Pedro,25_de_Diciembre,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Antequera,02_San_Pedro,Antequera,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Capiibary,02_San_Pedro,Capiibary,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Chore,02_San_Pedro,Chore,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-General_Elizardo_Aquino,02_San_Pedro,General_Elizardo_Aquino,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-General_Resquin,02_San_Pedro,General_Resquin,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Guayaibi,02_San_Pedro,Guayaibi,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Itacurubi,02_San_Pedro,Itacurubi,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Itacurubi_del_Rosario,02_San_Pedro,Itacurubi_del_Rosario,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Liberacion,02_San_Pedro,Liberacion,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Lima,02_San_Pedro,Lima,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Nueva_Germania,02_San_Pedro,Nueva_Germania,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-San_Estanislao,02_San_Pedro,San_Estanislao,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-San_Pablo,02_San_Pedro,San_Pablo,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-San_Pedro_de_Ycuamandiyu,02_San_Pedro,San_Pedro_de_Ycuamandiyu,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-San_Vicente_Pancholo,02_San_Pedro,San_Vicente_Pancholo,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Santa_Rosa_del_Aguaray,02_San_Pedro,Santa_Rosa_del_Aguaray,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Tacuati,02_San_Pedro,Tacuati,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Union,02_San_Pedro,Union,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Villa_del_Rosario,02_San_Pedro,Villa_del_Rosario,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Yataity_del_Norte,02_San_Pedro,Yataity_del_Norte,True,True,True,True,APPROVED,OK
POP-02_San_Pedro-Yrybucua,02_San_Pedro,Yrybucua,True,True,True,True,APPROVED,OK
POP-03_Cordillera-Altos,03_Cordillera,Altos,True,True,True,True,APPROVED,OK
POP-03_Cordillera-Arroyos_y_Esteros,03_Cordillera,Arroyos_y_Esteros,True,True,True,True,APPROVED,OK
POP-03_Cordillera-Caacupe,03_Cordillera,Caacupe,True,True,True,True,APPROVED,OK
POP-03_Cordillera-Tobati,03_Cordillera,Tobati,True,True,True,True,APPROVED,OK
POP-07_Itapua-Hohenau,07_Itapua,Hohenau,True,True,True,True,APPROVED,OK
